date,ticker,open,high,low,close,volume
2020-03-02,AAPL,358.83,358.91,355.24,358.37,25574298
2020-03-03,AAPL,364.7,368.18,360.28,362.64,44610261
2020-03-04,AAPL,351.8,355.04,348.79,354.46,2761171
2020-03-05,AAPL,367.58,373.59,361.65,371.05,2494512
2020-03-06,AAPL,363.99,370.29,363.53,364.6,11575230
2020-03-09,AAPL,359.85,360.01,357.12,359.46,27491120
2020-03-10,AAPL,370.97,371.03,367.81,369.44,16824867
2020-03-11,AAPL,366.29,369.19,364.32,364.74,2242186
2020-03-12,AAPL,362.27,363.48,358.15,359.29,13261902
2020-03-13,AAPL,372.91,377.61,368.74,372.15,47788398
2020-03-16,AAPL,378.25,383.27,368.23,375.15,13138818
2020-03-17,AAPL,383.48,386.55,380.51,384.84,24234517
2020-03-18,AAPL,383.09,389.87,382.69,384.89,22258730
2020-03-19,AAPL,394.8,399.39,394.28,397.64,19356018
2020-03-20,AAPL,402.98,404.62,394.68,398.31,8983786
2020-03-23,AAPL,398.89,400.37,397.35,400.09,47071281
2020-03-24,AAPL,387.58,389.96,376.98,385.11,27735222
2020-03-25,AAPL,385.26,386.35,381.74,384.13,4488243
2020-03-26,AAPL,390.22,393.56,388.83,391.12,35140121
2020-03-27,AAPL,398.97,402.21,395.85,398.36,14819694
2020-03-30,AAPL,401.52,410.16,396.62,402.95,39044235
2020-03-31,AAPL,407.15,408.45,402.68,407.56,37792682
2020-04-01,AAPL,404.97,405.02,400.68,404.44,41496415
2020-04-02,AAPL,409.52,411.49,408.99,410.16,47579750
2020-04-03,AAPL,428.32,436.0,424.15,426.05,17104562
2020-04-06,AAPL,437.86,440.59,433.39,436.13,5469099
2020-04-07,AAPL,430.23,439.25,422.62,430.25,44497504
2020-04-08,AAPL,422.68,425.11,420.3,423.36,31292685
2020-04-09,AAPL,420.34,422.69,416.24,419.91,4986090
2020-04-10,AAPL,405.09,410.89,404.22,407.96,39080198
2020-04-13,AAPL,394.61,395.81,391.52,391.54,23964371
2020-04-14,AAPL,392.63,396.31,386.61,394.26,48146454
2020-04-15,AAPL,381.44,384.38,379.7,383.06,48197904
2020-04-16,AAPL,384.99,385.37,381.99,384.97,48495824
2020-04-17,AAPL,403.5,405.24,395.19,402.68,31750345
2020-04-20,AAPL,410.29,419.27,406.6,409.91,14591677
2020-04-21,AAPL,406.05,413.04,398.7,408.82,4808997
2020-04-22,AAPL,415.68,419.63,409.44,411.82,34551827
2020-04-23,AAPL,421.22,424.17,417.58,418.14,43437130
2020-04-24,AAPL,427.21,435.55,421.42,428.21,48525805
2020-04-27,AAPL,431.39,441.96,426.9,430.78,14396946
2020-04-28,AAPL,431.15,433.09,428.36,431.05,23076662
2020-04-29,AAPL,420.59,425.05,413.0,419.46,18549973
2020-04-30,AAPL,420.88,429.01,420.39,422.46,26488011
2020-05-01,AAPL,426.55,430.93,423.4,424.11,20770660
2020-05-04,AAPL,432.73,436.91,426.85,429.79,7682202
2020-05-05,AAPL,418.13,421.83,414.56,415.13,18064517
2020-05-06,AAPL,427.97,434.94,421.91,427.81,43255821
2020-05-07,AAPL,429.6,430.81,420.78,427.9,49021596
2020-05-08,AAPL,410.24,415.77,407.49,410.42,4717303
2020-05-11,AAPL,402.56,405.57,400.42,401.59,24224120
2020-05-12,AAPL,394.86,396.96,390.75,393.87,9673513
2020-05-13,AAPL,382.4,382.99,373.67,382.77,34829346
2020-05-14,AAPL,378.01,378.43,376.77,377.6,40503862
2020-05-15,AAPL,373.31,375.35,367.66,372.23,24741626
2020-05-18,AAPL,363.61,369.59,360.24,361.14,2797476
2020-05-19,AAPL,365.65,367.57,362.11,367.47,27073560
2020-05-20,AAPL,364.96,372.6,364.22,366.71,14192918
2020-05-21,AAPL,365.44,369.4,363.05,365.52,17047370
2020-05-22,AAPL,379.71,379.74,372.45,378.04,5259094
2020-05-25,AAPL,398.19,399.95,389.91,396.18,7251434
2020-05-26,AAPL,386.75,393.05,379.36,389.44,18448739
2020-05-27,AAPL,390.1,391.51,388.92,389.85,8490097
2020-05-28,AAPL,384.04,387.25,380.72,384.97,9495306
2020-05-29,AAPL,367.15,368.58,365.59,365.9,43409849
2020-06-01,AAPL,363.23,365.04,358.32,361.86,46539423
2020-06-02,AAPL,379.88,383.42,373.96,376.83,10165143
2020-06-03,AAPL,367.91,377.31,367.74,371.26,6627004
2020-06-04,AAPL,361.57,365.69,359.17,360.13,24575864
2020-06-05,AAPL,355.7,358.76,354.25,355.62,4105373
2020-06-08,AAPL,352.85,356.75,348.8,351.51,30186298
2020-06-09,AAPL,332.98,336.24,332.3,334.31,41700350
2020-06-10,AAPL,335.76,337.4,330.31,335.61,42249610
2020-06-11,AAPL,337.35,339.7,335.89,338.05,9049024
2020-06-12,AAPL,343.66,351.25,340.66,341.89,43982826
2020-06-15,AAPL,349.56,357.41,346.04,350.28,23671309
2020-06-16,AAPL,356.31,363.47,356.25,357.82,45079154
2020-06-17,AAPL,359.91,364.79,357.13,363.93,6728003
2020-06-18,AAPL,366.36,369.56,363.85,365.32,39907234
2020-06-19,AAPL,374.32,375.01,369.2,370.12,8432069
2020-06-22,AAPL,360.75,367.7,359.3,362.23,43961516
2020-06-23,AAPL,368.98,370.92,365.37,369.93,40067472
2020-06-24,AAPL,365.94,370.49,362.37,366.95,32416234
2020-06-25,AAPL,373.64,376.53,365.56,370.17,9898288
2020-06-26,AAPL,373.17,376.49,362.98,371.61,47416883
2020-06-29,AAPL,371.78,383.03,371.3,373.88,1887399
2020-06-30,AAPL,388.54,389.38,385.68,387.39,8474413
2020-07-01,AAPL,404.88,411.33,400.11,402.17,46783983
2020-07-02,AAPL,403.21,413.45,399.54,401.65,20551132
2020-07-03,AAPL,399.72,404.63,393.11,400.58,27332384
2020-07-06,AAPL,400.19,405.27,395.67,398.94,23158679
2020-07-07,AAPL,394.08,398.04,393.0,397.06,25420020
2020-07-08,AAPL,403.33,408.01,395.89,403.65,31980950
2020-07-09,AAPL,399.46,412.02,399.22,401.68,4286747
2020-07-10,AAPL,396.93,397.39,394.98,395.6,10343698
2020-07-13,AAPL,394.46,398.35,394.04,395.53,39000853
2020-07-14,AAPL,401.31,415.17,396.33,406.72,28422376
2020-07-15,AAPL,403.38,409.82,400.24,404.13,32555977
2020-07-16,AAPL,401.27,403.36,398.17,401.41,33287273
2020-07-17,AAPL,405.1,409.54,403.12,407.4,32984559
2020-07-20,AAPL,404.29,408.04,400.48,404.75,42929126
2020-07-21,AAPL,404.36,408.73,399.55,402.03,15364238
2020-07-22,AAPL,392.24,397.11,385.63,388.81,19604928
2020-07-23,AAPL,378.04,382.88,370.28,376.9,28050311
2020-07-24,AAPL,362.88,367.4,362.76,363.87,40192907
2020-07-27,AAPL,361.3,362.51,355.12,361.4,32040432
2020-07-28,AAPL,356.33,361.68,355.98,357.08,14343058
2020-07-29,AAPL,356.9,360.12,350.83,358.66,32919599
2020-07-30,AAPL,356.41,362.18,349.89,355.47,33586797
2020-07-31,AAPL,340.37,344.7,340.28,342.56,9147885
2020-08-03,AAPL,340.69,345.57,338.37,340.35,20075485
2020-08-04,AAPL,331.98,337.5,328.48,334.24,28753827
2020-08-05,AAPL,347.78,348.65,347.16,348.32,11532078
2020-08-06,AAPL,344.69,353.51,344.15,344.48,17377950
2020-08-07,AAPL,342.64,343.26,341.08,342.23,25279074
2020-08-10,AAPL,341.17,343.58,336.2,338.11,40171378
2020-08-11,AAPL,332.46,338.32,327.13,330.92,5487521
2020-08-12,AAPL,331.62,332.21,326.18,330.59,43774345
2020-08-13,AAPL,337.2,341.53,332.59,336.16,42610586
2020-08-14,AAPL,333.06,337.3,332.37,335.85,9848191
2020-08-17,AAPL,341.75,343.27,340.79,341.52,48581854
2020-08-18,AAPL,342.58,342.68,341.32,341.42,16635923
2020-08-19,AAPL,332.83,336.3,327.75,331.99,36513571
2020-08-20,AAPL,330.19,335.71,329.54,330.92,16618872
2020-08-21,AAPL,337.31,341.86,334.86,336.83,2195638
2020-08-24,AAPL,339.35,341.11,332.79,337.55,24513905
2020-08-25,AAPL,344.47,350.26,337.88,343.93,37141532
2020-08-26,AAPL,340.73,345.8,337.6,341.21,15519097
2020-08-27,AAPL,326.21,331.7,323.98,328.19,47548098
2020-08-28,AAPL,334.45,334.98,332.2,334.81,31057158
2020-08-31,AAPL,345.57,351.0,342.54,342.79,9649873
2020-09-01,AAPL,337.75,340.85,333.74,338.69,3834291
2020-09-02,AAPL,334.36,339.01,330.85,336.33,8540899
2020-09-03,AAPL,333.84,334.52,327.74,332.79,30054056
2020-09-04,AAPL,327.63,328.82,325.45,327.36,7346231
2020-09-07,AAPL,329.95,332.12,322.78,329.4,5262351
2020-09-08,AAPL,316.04,320.85,313.04,318.04,25297911
2020-09-09,AAPL,315.26,315.31,311.17,314.91,24548742
2020-09-10,AAPL,323.21,327.49,319.01,322.66,28720866
2020-09-11,AAPL,326.0,328.52,322.39,326.59,42678504
2020-09-14,AAPL,330.58,332.24,326.58,329.4,34326897
2020-09-15,AAPL,339.77,340.34,338.18,338.67,17420823
2020-09-16,AAPL,335.0,336.4,332.83,334.17,25865918
2020-09-17,AAPL,335.69,340.26,333.11,335.62,32066279
2020-09-18,AAPL,346.19,347.11,344.43,345.82,27522062
2020-09-21,AAPL,345.81,347.92,344.69,345.33,6022976
2020-09-22,AAPL,347.43,348.07,345.31,346.72,35700432
2020-09-23,AAPL,346.6,351.97,341.32,347.81,3241359
2020-09-24,AAPL,349.62,351.0,342.5,350.54,38749963
2020-09-25,AAPL,350.09,355.16,339.2,346.82,9017567
2020-09-28,AAPL,353.23,357.19,346.89,351.5,14389716
2020-09-29,AAPL,356.07,362.82,352.26,356.24,20482125
2020-09-30,AAPL,362.44,365.4,360.02,362.82,2525570
2020-10-01,AAPL,356.47,356.77,349.96,353.92,48441477
2020-10-02,AAPL,355.59,358.52,353.03,356.0,42394378
2020-10-05,AAPL,363.16,363.87,358.2,360.76,40030327
2020-10-06,AAPL,353.41,354.83,350.74,353.5,22084988
2020-10-07,AAPL,350.87,353.85,348.48,353.39,14180676
2020-10-08,AAPL,350.82,351.8,349.0,349.09,4549897
2020-10-09,AAPL,341.91,351.58,339.31,346.1,35054112
2020-10-12,AAPL,349.69,349.77,346.86,348.85,6141578
2020-10-13,AAPL,346.98,354.25,343.94,349.0,28422785
2020-10-14,AAPL,343.12,344.05,342.76,343.06,4850346
2020-10-15,AAPL,335.89,342.4,333.73,336.36,40228748
2020-10-16,AAPL,332.47,334.12,329.81,333.21,35617310
2020-10-19,AAPL,332.69,336.1,331.38,333.77,35990259
2020-10-20,AAPL,331.87,332.25,326.93,330.07,41047590
2020-10-21,AAPL,342.75,349.9,342.07,343.93,4999869
2020-10-22,AAPL,336.12,339.09,332.32,337.01,25411590
2020-10-23,AAPL,349.58,349.72,348.4,348.82,10777580
2020-10-26,AAPL,345.86,349.63,345.11,345.49,36631284
2020-10-27,AAPL,345.02,349.25,337.31,342.33,49394828
2020-10-28,AAPL,335.13,335.48,325.9,331.81,43797738
2020-10-29,AAPL,332.29,334.45,325.61,330.83,45705803
2020-10-30,AAPL,332.42,339.12,329.84,334.52,7446816
2020-11-02,AAPL,338.43,340.29,335.72,337.99,48598359
2020-11-03,AAPL,339.85,345.96,339.68,340.35,43666745
2020-11-04,AAPL,340.85,349.74,334.92,345.77,9012669
2020-11-05,AAPL,348.38,351.34,344.04,348.53,16934313
2020-11-06,AAPL,346.04,346.21,343.8,345.45,12566472
2020-11-09,AAPL,331.56,332.42,327.06,331.14,13186999
2020-11-10,AAPL,342.7,343.89,340.06,341.25,2796899
2020-11-11,AAPL,349.32,353.56,346.89,347.2,40477837
2020-11-12,AAPL,354.95,355.87,353.83,354.53,14217730
2020-11-13,AAPL,353.83,355.51,350.17,355.05,46759875
2020-11-16,AAPL,352.23,359.04,351.01,355.78,23282252
2020-11-17,AAPL,346.02,349.04,339.64,341.01,2468705
2020-11-18,AAPL,346.93,350.88,343.27,348.74,48525690
2020-11-19,AAPL,349.7,354.61,349.13,350.84,9680339
2020-11-20,AAPL,358.01,358.55,355.82,357.12,25361563
2020-11-23,AAPL,364.74,366.38,363.94,364.18,46616486
2020-11-24,AAPL,374.63,377.02,368.16,372.42,20299355
2020-11-25,AAPL,367.4,371.09,365.93,366.85,39336888
2020-11-26,AAPL,379.74,380.66,375.22,378.88,17024624
2020-11-27,AAPL,388.1,390.9,384.54,387.0,22343582
2020-11-30,AAPL,386.27,386.94,385.97,386.03,16904705
2020-12-01,AAPL,373.26,379.69,367.47,376.36,22985987
2020-12-02,AAPL,369.28,377.84,365.55,371.74,31355026
2020-12-03,AAPL,353.99,355.41,350.0,355.2,24479912
2020-12-04,AAPL,342.66,349.04,334.3,345.51,30787349
2020-12-07,AAPL,351.39,352.27,349.0,350.38,46424692
2020-12-08,AAPL,344.79,351.12,344.45,345.27,14958772
2020-12-09,AAPL,351.06,358.88,349.67,352.15,30906355
2020-12-10,AAPL,346.98,350.39,344.58,345.35,9876318
2020-12-11,AAPL,339.77,346.04,338.08,338.83,6236969
2020-12-14,AAPL,328.93,328.99,326.39,328.21,40493634
2020-12-15,AAPL,324.67,326.21,324.12,324.57,30478979
2020-12-16,AAPL,325.12,327.4,322.89,325.05,30938068
2020-12-17,AAPL,332.18,333.6,329.69,332.68,12606657
2020-12-18,AAPL,329.54,330.51,323.98,328.07,33709945
2020-12-21,AAPL,328.52,337.14,324.45,329.81,9232696
2020-12-22,AAPL,334.84,335.46,333.72,334.15,2158290
2020-12-23,AAPL,345.28,350.59,341.59,342.5,20154393
2020-12-24,AAPL,346.48,349.27,336.46,342.07,21981781
2020-12-25,AAPL,350.85,351.91,347.06,348.92,29340958
2020-12-28,AAPL,346.1,348.46,342.58,346.45,12106163
2020-12-29,AAPL,342.22,345.16,342.1,342.56,40217468
2020-12-30,AAPL,341.65,345.47,338.8,344.33,27114931
2020-12-31,AAPL,334.35,338.77,327.84,336.43,36801875
2021-01-01,AAPL,331.76,333.7,331.51,331.85,9589844
2021-01-04,AAPL,326.47,329.45,325.18,325.44,23068175
2021-01-05,AAPL,322.8,326.32,318.86,320.82,46431713
2021-01-06,AAPL,315.32,317.78,312.86,317.55,42259631
2021-01-07,AAPL,333.1,333.73,331.41,332.44,7257960
2021-01-08,AAPL,336.94,340.54,332.97,335.96,18646683
2021-01-11,AAPL,324.61,328.19,316.82,323.79,30429122
2021-01-12,AAPL,329.42,330.24,329.36,329.36,42719822
2021-01-13,AAPL,329.91,333.1,328.95,330.07,43534777
2021-01-14,AAPL,334.99,336.69,333.2,333.99,20746028
2021-01-15,AAPL,336.22,337.83,336.19,337.74,32407631
2021-01-18,AAPL,336.72,345.02,335.38,336.38,38475680
2021-01-19,AAPL,334.41,340.21,333.39,336.62,19009186
2021-01-20,AAPL,340.3,346.43,338.01,340.21,25800951
2021-01-21,AAPL,333.75,338.03,331.75,333.99,31359809
2021-01-22,AAPL,328.38,330.64,327.49,327.7,49748449
2021-01-25,AAPL,328.28,330.85,327.29,328.84,34915905
2021-01-26,AAPL,327.91,334.15,324.91,329.1,31570895
2021-01-27,AAPL,313.92,318.21,311.76,312.46,19020208
2021-01-28,AAPL,319.66,322.98,317.22,320.16,1540531
2021-01-29,AAPL,312.53,318.36,311.31,316.63,27230196
2021-02-01,AAPL,310.45,316.58,304.05,310.49,42373497
2021-02-02,AAPL,309.03,311.86,306.3,310.48,37130496
2021-02-03,AAPL,295.68,298.93,288.95,296.34,39465810
2021-02-04,AAPL,294.04,295.82,287.18,292.52,13478860
2021-02-05,AAPL,293.49,297.63,288.6,292.15,44860769
2021-02-08,AAPL,302.24,302.34,297.64,299.9,8358281
2021-02-09,AAPL,303.17,303.87,300.31,300.58,5154808
2021-02-10,AAPL,298.81,302.84,295.64,298.54,18135458
2021-02-11,AAPL,304.5,305.87,301.43,302.75,5821386
2021-02-12,AAPL,311.19,314.29,307.73,310.08,31608514
2021-02-15,AAPL,301.71,303.32,298.91,302.47,38957055
2021-02-16,AAPL,308.68,310.67,302.54,305.37,49018546
2021-02-17,AAPL,317.25,319.61,312.55,314.42,33167451
2021-02-18,AAPL,310.97,315.54,304.85,312.28,22530844
2021-02-19,AAPL,316.29,317.82,315.01,316.05,10676054
2021-02-22,AAPL,319.45,322.2,316.3,318.16,43207129
2021-02-23,AAPL,322.33,327.57,321.88,323.64,36696043
2021-02-24,AAPL,330.02,330.62,323.84,328.1,49248817
2021-02-25,AAPL,327.5,330.3,325.61,327.64,11462056
2021-02-26,AAPL,335.96,336.99,330.2,335.92,29927036
2021-03-01,AAPL,323.46,329.31,321.31,323.33,43792822
2021-03-02,AAPL,332.95,333.41,327.77,331.83,1457249
2021-03-03,AAPL,335.93,341.84,334.51,337.49,10997746
2021-03-04,AAPL,349.62,353.8,347.38,348.94,18413843
2021-03-05,AAPL,353.6,358.73,347.17,351.05,8295514
2021-03-08,AAPL,355.63,362.45,354.21,356.3,44423593
2021-03-09,AAPL,346.88,352.71,341.78,344.37,1157694
2021-03-10,AAPL,336.14,338.0,325.49,334.03,32473950
2021-03-11,AAPL,333.89,341.28,327.59,335.05,30570895
2021-03-12,AAPL,343.09,345.76,340.19,342.07,25414528
2021-03-15,AAPL,348.74,353.2,346.37,349.88,26346183
2021-03-16,AAPL,341.74,344.52,335.36,342.07,5341421
2021-03-17,AAPL,343.16,346.18,341.18,345.52,21641154
2021-03-18,AAPL,355.16,355.97,350.73,354.13,42150311
2021-03-19,AAPL,359.28,367.35,358.03,362.8,18749536
2021-03-22,AAPL,360.78,365.18,360.25,364.0,13705541
2021-03-23,AAPL,371.34,373.08,369.85,371.7,40329522
2021-03-24,AAPL,357.98,363.29,351.63,363.19,22405684
2021-03-25,AAPL,371.35,372.67,365.85,369.91,7632350
2021-03-26,AAPL,378.07,378.45,375.0,375.77,13823578
2021-03-29,AAPL,378.2,381.8,374.71,378.62,38210514
2021-03-30,AAPL,389.59,390.2,386.67,390.11,2647066
2021-03-31,AAPL,388.89,398.0,384.9,391.1,45091833
2021-04-01,AAPL,392.83,398.97,389.75,391.82,36810227
2021-04-02,AAPL,384.4,389.53,374.06,383.32,48628261
2021-04-05,AAPL,373.29,376.03,368.12,371.13,42680186
2021-04-06,AAPL,383.91,385.04,378.29,378.86,35683919
2021-04-07,AAPL,372.94,376.94,361.89,372.78,9122952
2021-04-08,AAPL,373.34,379.95,365.8,369.63,27726161
2021-04-09,AAPL,368.62,370.64,363.55,369.96,3545872
2021-04-12,AAPL,366.6,369.2,363.63,365.5,17180538
2021-04-13,AAPL,369.56,370.75,365.65,366.58,44099510
2021-04-14,AAPL,365.05,366.21,364.0,364.12,38828611
2021-04-15,AAPL,370.59,371.4,358.75,370.73,6168211
2021-04-16,AAPL,379.57,384.54,376.47,378.62,48259356
2021-04-19,AAPL,376.93,383.15,374.42,379.66,29302074
2021-04-20,AAPL,389.92,392.9,388.13,388.88,27118414
2021-04-21,AAPL,391.18,395.37,387.15,392.84,43001783
2021-04-22,AAPL,391.9,394.04,388.93,390.95,44805495
2021-04-23,AAPL,384.49,392.42,379.58,383.68,5089740
2021-04-26,AAPL,385.8,387.82,385.32,385.34,21470287
2021-04-27,AAPL,378.15,378.86,373.62,377.34,8949436
2021-04-28,AAPL,377.28,384.55,376.43,377.78,44622644
2021-04-29,AAPL,378.77,380.72,377.65,379.44,41134112
2021-04-30,AAPL,394.04,395.23,385.66,393.35,41260207
2021-05-03,AAPL,375.71,381.74,375.62,376.85,17425194
2021-05-04,AAPL,379.55,383.31,377.99,381.15,18049129
2021-05-05,AAPL,393.02,398.45,387.04,393.66,18266372
2021-05-06,AAPL,395.45,395.6,392.51,393.04,7186972
2021-05-07,AAPL,386.25,388.05,383.2,383.97,9569190
2021-05-10,AAPL,382.08,384.02,378.11,381.08,32501213
2021-05-11,AAPL,385.94,389.8,379.64,382.23,2626278
2021-05-12,AAPL,387.72,393.11,385.13,390.28,33584260
2021-05-13,AAPL,393.2,396.33,385.73,393.68,6438483
2021-05-14,AAPL,376.12,380.99,371.98,380.45,19639626
2021-05-17,AAPL,376.4,377.82,375.68,376.57,14721829
2021-05-18,AAPL,374.88,375.62,372.3,373.48,40440432
2021-05-19,AAPL,368.67,370.65,363.72,366.68,43764938
2021-05-20,AAPL,368.16,372.72,367.82,369.35,12852797
2021-05-21,AAPL,368.83,372.35,362.87,369.39,15564652
2021-05-24,AAPL,375.71,378.95,372.33,377.34,30067856
2021-05-25,AAPL,376.42,377.0,372.05,376.74,4118404
2021-05-26,AAPL,381.75,382.76,377.11,379.54,41635053
2021-05-27,AAPL,383.08,393.44,378.59,381.17,16530382
2021-05-28,AAPL,391.91,396.08,391.01,392.6,22725620
2021-05-31,AAPL,408.12,414.82,402.45,405.46,12634239
2021-06-01,AAPL,397.89,398.91,388.27,397.83,32958988
2021-06-02,AAPL,400.11,400.28,392.25,399.01,32071097
2021-06-03,AAPL,398.0,400.12,389.21,398.37,3236788
2021-06-04,AAPL,393.78,400.7,393.45,395.15,30928223
2021-06-07,AAPL,386.98,389.07,386.95,388.27,1375537
2021-06-08,AAPL,384.62,387.3,379.46,386.07,26120718
2021-06-09,AAPL,388.82,392.21,388.07,389.17,31236259
2021-06-10,AAPL,385.35,391.05,385.26,386.89,25183782
2021-06-11,AAPL,382.74,389.28,375.63,383.99,21140032
2021-06-14,AAPL,387.22,393.34,382.78,386.23,41365728
2021-06-15,AAPL,386.36,390.29,385.03,387.55,19808105
2021-06-16,AAPL,369.73,371.85,366.08,371.06,37807724
2021-06-17,AAPL,374.73,379.65,370.39,375.05,18734079
2021-06-18,AAPL,374.53,377.18,373.62,374.49,31016099
2021-06-21,AAPL,378.74,378.96,374.73,377.54,7964719
2021-06-22,AAPL,377.08,377.96,369.99,377.48,29282794
2021-06-23,AAPL,364.2,367.32,358.2,362.87,42434613
2021-06-24,AAPL,361.55,365.86,355.07,358.36,16009361
2021-06-25,AAPL,359.2,361.09,354.9,356.64,43020554
2021-06-28,AAPL,357.3,360.14,349.64,355.86,19187448
2021-06-29,AAPL,368.75,372.39,361.88,367.32,9176149
2021-06-30,AAPL,359.0,360.49,356.2,359.38,8568527
2021-07-01,AAPL,359.63,365.0,355.27,359.92,4513882
2021-07-02,AAPL,346.58,351.34,340.98,347.98,18865092
2021-07-05,AAPL,360.48,361.48,356.35,361.32,2349299
2021-07-06,AAPL,365.46,367.05,365.05,365.45,2516833
2021-07-07,AAPL,356.96,364.05,355.69,357.6,45104075
2021-07-08,AAPL,362.16,367.02,360.82,362.77,49216644
2021-07-09,AAPL,349.16,353.64,342.04,351.78,8553107
2021-07-12,AAPL,368.21,370.55,362.32,364.14,22581626
2021-07-13,AAPL,355.02,361.08,351.95,356.58,48354451
2021-07-14,AAPL,343.92,347.61,341.82,342.64,22758143
2021-07-15,AAPL,345.39,346.4,338.34,341.41,28899490
2021-07-16,AAPL,334.01,335.56,332.83,333.18,24301755
2021-07-19,AAPL,323.58,324.44,317.47,323.19,43628488
2021-07-20,AAPL,324.71,326.22,323.59,325.34,14512610
2021-07-21,AAPL,322.79,324.74,321.53,324.69,43313828
2021-07-22,AAPL,315.32,318.18,311.29,313.34,38328111
2021-07-23,AAPL,311.2,323.56,310.36,315.01,43413280
2021-07-26,AAPL,315.27,316.91,312.79,314.82,29102918
2021-07-27,AAPL,321.99,322.75,318.76,322.32,26011191
2021-07-28,AAPL,327.02,327.08,325.44,326.71,34698380
2021-07-29,AAPL,334.92,336.3,330.6,333.09,18577060
2021-07-30,AAPL,330.5,333.65,327.39,329.08,15436350
2021-08-02,AAPL,333.83,335.23,330.66,332.64,38677216
2021-08-03,AAPL,341.92,343.12,337.06,340.71,5341630
2021-08-04,AAPL,335.25,340.79,329.78,335.29,4234482
2021-08-05,AAPL,329.64,336.4,328.93,330.15,4766241
2021-08-06,AAPL,339.92,340.53,339.64,339.92,4572189
2021-08-09,AAPL,327.9,331.69,324.82,329.16,40370654
2021-08-10,AAPL,329.45,330.37,326.22,328.3,24345412
2021-08-11,AAPL,330.58,332.84,329.66,332.64,18532890
2021-08-12,AAPL,327.67,327.69,323.84,327.12,23018137
2021-08-13,AAPL,341.16,341.88,337.4,339.06,12854652
2021-08-16,AAPL,345.92,346.74,340.23,344.95,26488324
2021-08-17,AAPL,346.95,347.92,340.81,347.83,14929430
2021-08-18,AAPL,348.68,352.53,348.63,350.34,14532308
2021-08-19,AAPL,348.49,351.36,345.2,348.22,16497237
2021-08-20,AAPL,345.14,349.01,343.46,346.49,16354047
2021-08-23,AAPL,348.82,351.79,348.0,348.48,19488584
2021-08-24,AAPL,351.65,357.17,343.57,348.2,35488997
2021-08-25,AAPL,357.29,357.61,354.4,355.1,15604558
2021-08-26,AAPL,356.21,358.28,355.71,356.72,18642472
2021-08-27,AAPL,357.97,363.14,348.7,356.9,11235253
2021-08-30,AAPL,344.59,351.34,343.49,347.05,42667052
2021-08-31,AAPL,349.54,355.2,349.28,351.54,11571293
2021-09-01,AAPL,361.42,364.1,357.05,358.55,32930348
